entry_time,exit_time,entry_price,exit_price,direction,lots,net_pnl,exit_reason
2026-04-10 01:05:00,2026-04-10 01:15:00,4634.0,4630.0,LONG,6,-1080.0,Signal_Close
2026-04-10 01:30:00,2026-04-10 06:15:00,4634.0,4669.0,SHORT,7,-6685.0,Signal_Close
2026-04-10 06:30:00,2026-04-10 18:35:00,4675.0,4637.0,LONG,5,-5150.0,Signal_Close
2026-04-10 18:45:00,2026-04-10 22:35:00,4636.0,4591.0,SHORT,3,3135.0,Signal_Close
2026-04-10 23:05:00,2026-04-10 23:15:00,4593.0,4591.0,LONG,3,-390.0,Signal_Close
2026-04-10 23:25:00,2026-04-10 23:45:00,4601.0,4601.0,LONG,4,-320.0,Signal_Close
2026-04-10 23:55:00,2026-04-11 00:15:00,4592.0,4588.0,LONG,3,-540.0,Signal_Close
2026-04-11 00:25:00,2026-04-11 00:35:00,4586.0,4587.0,LONG,3,-165.0,Signal_Close
2026-04-11 00:45:00,2026-04-11 01:00:00,4585.0,4584.0,LONG,3,-315.0,Signal_Close
2026-04-11 01:25:00,2026-04-11 01:35:00,4559.0,4554.0,SHORT,3,135.0,Signal_Close
2026-04-11 01:45:00,2026-04-13 18:30:00,4547.0,4578.0,SHORT,3,-2565.0,Signal_Close
2026-04-13 18:40:00,2026-04-13 19:25:00,4586.0,4595.0,LONG,2,290.0,Signal_Close
2026-04-13 22:35:00,2026-04-14 00:50:00,4561.0,4556.0,LONG,2,-410.0,Signal_Close
2026-04-14 01:15:00,2026-04-14 01:50:00,4553.0,4559.0,LONG,3,210.0,Signal_Close
2026-04-14 05:05:00,2026-04-14 05:15:00,4554.0,4548.0,LONG,3,-690.0,Signal_Close
2026-04-14 05:25:00,2026-04-14 05:35:00,4547.0,4542.0,LONG,3,-615.0,Signal_Close
2026-04-14 05:45:00,2026-04-14 22:35:00,4532.0,4467.0,SHORT,4,6180.0,Signal_Close
2026-04-14 23:35:00,2026-04-15 01:05:00,4463.0,4467.0,LONG,4,80.0,Signal_Close
2026-04-15 01:50:00,2026-04-15 05:05:00,4468.0,4453.0,SHORT,4,1180.0,Signal_Close
2026-04-15 05:20:00,2026-04-15 05:35:00,4451.0,4432.0,LONG,3,-1665.0,Signal_Close
2026-04-15 05:50:00,2026-04-15 06:05:00,4423.0,4418.0,LONG,3,-615.0,Signal_Close
2026-04-15 06:15:00,2026-04-15 06:25:00,4422.0,4416.0,SHORT,3,210.0,Signal_Close
2026-04-15 06:35:00,2026-04-15 06:45:00,4421.0,4424.0,LONG,3,-15.0,Signal_Close
2026-04-15 06:55:00,2026-04-15 19:40:00,4427.0,4443.0,LONG,4,1280.0,Signal_Close
